x2,y2,r_mag,ax2,ay2
387659966.7938889,0.0,384400000.0,-0.002697465496438488,-8.48753200311222e-06
381886547.57992035,2407871.263418452,384400000.00000006,-0.0026974120852001427,-1.697489594856827e-05
387882677.72972786,4832314.817546228,384400000.00000006,-0.0026972518536001666,-3.394911967322112e-05
385304711.5836027,7058658.9672669405,384400000.00000006,-0.002696984807983982,-5.092199897710481e-05
385094429.290177,9693019.88211232,384400000.00000006,-0.002696610958927129,-6.789286171615672e-05
387638767.11748624,12315351.002509734,384400000.0000001,-0.0026961303212334068,-8.486103582619475e-05
387709071.4690374,14556020.33185959,384400000.0000002,-0.002695542913938375,-0.00010182584934986805
385175939.60184807,16736680.800554484,384400000.0000001,-0.002694848760302829,-0.00011878663046263616
384776853.7643287,19114132.198611315,384400000.0000001,-0.0026940478878140304,-0.00013574270749946993
387513722.04242307,21788223.55687265,384400000.00000006,-0.002693140328190253,-0.00015269340898205197
383778311.4838455,24044482.396275327,384400000.00000006,-0.002692126117371985,-0.00016963806364478362
379857570.7303168,26508410.668069236,384400000.0,-0.0026910052955223286,-0.0001865760004614303
383277971.004039,28865013.590707466,384400000.00000006,-0.0026897779070274384,-0.0002035065486718779
389781926.10507804,31274687.242295668,384399999.99999994,-0.0026884440004940023,-0.00022042903780866707
374809038.1918207,33455317.73976112,384399999.99999994,-0.002687003628744803,-0.00023734279772330558
377605229.8348488,36014124.020583935,384399999.9999999,-0.0026854568488146116,-0.0002542471586125805
381898784.8054595,38685439.564697005,384399999.9999998,-0.0026838037219529577,-0.00027114145104517595
377281153.34349793,41082425.021266714,384399999.99999976,-0.002682044313644504,-0.00028802500599139913
387191336.4943433,42418857.507185526,384399999.9999996,-0.0026801786935798724,-0.000304897154846967
393268767.02143264,45458678.74079591,384399999.99999946,-0.0026782069355943162,-0.00032175722945174123
382660675.2403922,48209300.03026069,384399999.9999993,-0.0026761291177531364,-0.00033860456212575496
380095010.8477296,50090635.77733001,384399999.99999917,-0.0026739453224363524,-0.00035543848571009673
377678173.6545411,52637332.107640445,384399999.99999887,-0.0026716556360676935,-0.0003722583335562246
380847814.4684774,55097792.65260683,384399999.9999987,-0.00266926014924471,-0.00038906343956862655
375020352.0994583,59047848.28932669,384399999.9999984,-0.002666758956997542,-0.00040585313827287695
380348739.29987025,60556362.11791614,384399999.9999981,-0.0026641521582397854,-0.00042262676475784966
379246891.75103855,63170038.719332576,384399999.99999785,-0.0026614398562307476,-0.00043938365477461105
369784098.8952699,64420202.75050276,384399999.9999973,-0.002658622158468467,-0.0004561231447476888
381538365.9976635,67500538.02628782,384399999.99999696,-0.002655699176365031,-0.00047284457174498473
376415185.7014175,69721255.67720006,384399999.9999965,-0.0026526710258776218,-0.0004895472736185791
384455655.95888054,72320629.38220496,384399999.9999958,-0.002649537826732891,-0.0005062305888858809
377941882.61536443,75596474.86173883,384399999.99999535,-0.0026462997031724486,-0.0005228938569048491
